Site,Plot,Species,Treatment
Rincon,R01A,ABIN,Buffel
Rincon,R01A,AMBI,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,ABIN,Buffel
Rincon,R02B,AMBI,Buffel
Rincon,R02B,SIAB,Buffel
Rincon,R03B,ABIN,Buffel
Rincon,R03B,ABIN,Buffel
Rincon,R03B,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,ABIN,Buffel
Rincon,R04A,AMBI,Buffel
Rincon,R04A,AMBI,Buffel
Rincon,R04A,SECO,Buffel
Rincon,R04A,SECO,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R04A,SIAB,Buffel
Rincon,R05A,ABIN,Buffel
Rincon,R05A,ABIN,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R05A,SIAB,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,AMBI,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R06A,SECO,Buffel
Rincon,R07B,ABIN,Buffel
Rincon,R07B,ABIN,Buffel
Rincon,R07B,ABIN,Buffel
Rincon,R07B,ABIN,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,AMBI,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R07B,SIAB,Buffel
Rincon,R08A,ABIN,Buffel
Rincon,R08A,NAGR,Buffel
Rincon,R08A,NAGR,Buffel
Rincon,R08A,AMBI,Buffel
Rincon,R08A,AMBI,Buffel
Rincon,R08A,SIAB,Buffel
Rincon,R09B,ABIN,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,AMBI,Buffel
Rincon,R09B,SECO,Buffel
Rincon,R09B,SECO,Buffel
Rincon,R09B,SIAB,Buffel
Rincon,R09B,SIAB,Buffel
Rincon,R10A,ABIN,Buffel
Rincon,R10A,ABIN,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,AMBI,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SECO,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R10A,SIAB,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R11B,AMBI,Buffel
Rincon,R12B,NAGR,Buffel
Rincon,R12B,NAGR,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,AMBI,Buffel
Rincon,R12B,SECO,Buffel
Rincon,R13B,NAGR,Buffel
Rincon,R13B,SIAB,Buffel
Rincon,R14B,ASSP,Buffel
Rincon,R01B,AMBI,Removal
Rincon,R01B,AMBI,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,ABIN,Removal
Rincon,R03A,AMBI,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R03A,SIAB,Removal
Rincon,R04B,ABIN,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,NAGR,Removal
Rincon,R04B,AMBI,Removal
Rincon,R04B,AMBI,Removal
Rincon,R04B,MAPA,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R04B,SIAB,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,ABIN,Removal
Rincon,R05B,NAGR,Removal
Rincon,R05B,NAGR,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,AMBI,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,MAPA,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R05B,SIAB,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,ABIN,Removal
Rincon,R06B,POIN,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,AMBI,Removal
Rincon,R06B,SECO,Removal
Rincon,R06B,SECO,Removal
Rincon,R06B,SECO,Removal
Rincon,R06B,SECO,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R06B,SIAB,Removal
Rincon,R07A,ABIN,Removal
Rincon,R07A,ABIN,Removal
Rincon,R07A,ABIN,Removal
Rincon,R07A,ABIN,Removal
Rincon,R07A,AMBI,Removal
Rincon,R07A,SECO,Removal
Rincon,R07A,SECO,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R07A,SIAB,Removal
Rincon,R08B,ABIN,Removal
Rincon,R09A,ABIN,Removal
Rincon,R09A,ABIN,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,AMBI,Removal
Rincon,R09A,SECO,Removal
Rincon,R09A,SECO,Removal
Rincon,R09A,SIAB,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,ABIN,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,NAGR,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,AMBI,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R10B,SECO,Removal
Rincon,R11A,ABIN,Removal
Rincon,R11A,NAGR,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,AMBI,Removal
Rincon,R11A,SECO,Removal
Rincon,R11A,SECO,Removal
Rincon,R11A,SECO,Removal
Rincon,R11A,SECO,Removal
Rincon,R11A,SIAB,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,AMBI,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,ASSP,Removal
Rincon,R12A,SIAB,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,AMBI,Removal
Rincon,R13A,SIAB,Removal
Rincon,R13A,SIAB,Removal
Rincon,R13A,SIAB,Removal
Rincon,R13A,SIAB,Removal
Rincon,R13A,SIAB,Removal
Rincon,R13B,ASSP,Removal
Rincon,R14A,AMBI,Removal
Rincon,R14A,AMBI,Removal
Rincon,R14A,SIAB,Removal
