PlotID,mm_precip_total,Seedlings_total,Site,SpeciesID,Plot_treatment,Week_germinated,Min_known_weeks_surviving,Max_known_weeks_surviving,Recorded_dead
R01A,157,2,Rincon,AMBI,Buffel,4,0,0,1
R02B,157,10,Rincon,ABIN,Buffel,2,1,1,1
R03B,157,3,Rincon,ABIN,Buffel,1,0,0,0
R04A,157,20,Rincon,SECO,Buffel,4,0,1,1
R04A,157,20,Rincon,SIAB,Buffel,4,0,0,0
R04A,157,20,Rincon,SECO,Buffel,4,1,1,1
R04A,157,20,Rincon,SIAB,Buffel,3,2,2,1
R04A,157,20,Rincon,SIAB,Buffel,3,7,7,0
R04A,157,20,Rincon,ABIN,Buffel,2,0,0,1
R04A,157,20,Rincon,SIAB,Buffel,2,0,0,1
R04A,157,20,Rincon,SIAB,Buffel,2,0,0,1
R04A,157,20,Rincon,SIAB,Buffel,2,0,0,1
R04A,157,20,Rincon,SIAB,Buffel,2,0,0,0
R04A,157,20,Rincon,AMBI,Buffel,2,1,1,1
R04A,157,20,Rincon,AMBI,Buffel,2,1,1,1
R04A,157,20,Rincon,ABIN,Buffel,2,2,2,1
R04A,157,20,Rincon,ABIN,Buffel,2,3,3,1
R04A,157,20,Rincon,SIAB,Buffel,2,4,4,1
R04A,157,20,Rincon,ABIN,Buffel,2,5,5,1
R04A,157,20,Rincon,SIAB,Buffel,2,5,5,1
R04A,157,20,Rincon,SIAB,Buffel,2,6,7,1
R04A,157,20,Rincon,ABIN,Buffel,2,6,6,0
R05A,157,87,Rincon,SIAB,Buffel,2,0,0,1
R05A,157,14,Rincon,SIAB,Buffel,2,0,0,1
R05A,157,14,Rincon,SIAB,Buffel,2,0,1,1
R05A,157,14,Rincon,ABIN,Buffel,2,0,0,0
R05A,157,14,Rincon,SIAB,Buffel,2,0,0,0
R05A,157,14,Rincon,SIAB,Buffel,2,0,0,0
R05A,157,14,Rincon,SIAB,Buffel,2,1,1,1
R05A,157,14,Rincon,SIAB,Buffel,2,1,1,1
R05A,157,14,Rincon,ABIN,Buffel,2,3,3,1
R05A,157,14,Rincon,SIAB,Buffel,2,3,3,1
R05A,157,14,Rincon,SIAB,Buffel,2,3,4,1
R05A,157,14,Rincon,SIAB,Buffel,2,8,8,0
R05A,157,14,Rincon,SIAB,Buffel,2,8,8,0
R05A,157,14,Rincon,SIAB,Buffel,1,9,9,0
R06A,157,18,Rincon,SECO,Buffel,6,2,2,1
R06A,157,42,Rincon,AMBI,Buffel,4,0,1,1
R06A,157,42,Rincon,SECO,Buffel,4,0,0,0
R06A,157,42,Rincon,AMBI,Buffel,4,1,1,1
R06A,157,42,Rincon,SECO,Buffel,4,2,2,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,1,1
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,0
R06A,157,42,Rincon,AMBI,Buffel,2,0,0,0
R06A,157,42,Rincon,AMBI,Buffel,2,1,1,1
R06A,157,42,Rincon,AMBI,Buffel,2,1,2,1
R06A,157,42,Rincon,AMBI,Buffel,2,1,2,1
R06A,157,42,Rincon,AMBI,Buffel,2,2,2,1
R06A,157,42,Rincon,AMBI,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,3,3,1
R06A,157,42,Rincon,SECO,Buffel,2,4,4,1
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,6,6,0
R06A,157,42,Rincon,SECO,Buffel,2,6,6,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R06A,157,42,Rincon,SECO,Buffel,2,7,7,0
R07B,157,45,Rincon,SIAB,Buffel,5,0,0,0
R07B,157,45,Rincon,SIAB,Buffel,5,0,0,0
R07B,157,45,Rincon,SIAB,Buffel,4,0,0,0
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,1
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,1
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,1
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,1
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,1
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,1
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,1
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,1
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,1
R07B,157,45,Rincon,AMBI,Buffel,2,0,0,0
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,0
R07B,157,45,Rincon,SIAB,Buffel,2,0,0,0
