Germinated,Survived_to_experiment_end,Block_in_greenhouse,Side_of_table,Row_on_table,Role_in_experiment,Role,Seedling_species,Focal,Mg_dry_wt_at_experiment_end,Species_of_impact,Type_of_impact
1,1,1,S,X,A,D,PV,NF,447.3,Parkinsonia,Leachate Donor
1,1,1,S,Y,B,D,BG,NF,335.5,Pennisetum,Leachate Donor
1,1,1,S,X,A,P,PV,F,125.3,Parkinsonia,Competition
1,1,1,S,X,A,P,PV,NF,201.5,Parkinsonia,Competition
1,1,1,S,Y,B,P,PV,F,43.1,Pennisetum,Competition
0,NA,1,S,Y,B,P,BG,NF,205.4,Pennisetum,Competition
1,0,1,S,Z,C,P,PV,F,45.1,Control,Competition
1,1,1,S,X,A,R,PV,F,102.2,Parkinsonia,Leachate
1,1,1,S,Y,B,R,PV,F,42.8,Pennisetum,Leachate
1,1,1,S,Z,C,R,PV,F,79.5,Control,Leachate
1,1,2,S,X,B,D,BG,NF,836.6,Pennisetum,Leachate Donor
1,1,2,S,Z,A,D,PV,NF,444.7,Parkinsonia,Leachate Donor
1,1,2,S,X,B,P,PV,F,57.2,Pennisetum,Competition
1,1,2,S,X,B,P,BG,NF,280.1,Pennisetum,Competition
1,1,2,S,Y,C,P,PV,F,87.3,Control,Competition
1,1,2,S,Z,A,P,PV,F,57.9,Parkinsonia,Competition
1,1,2,S,Z,A,P,PV,NF,117.9,Parkinsonia,Competition
1,1,2,S,X,B,R,PV,F,106.3,Pennisetum,Leachate
1,1,2,S,Y,C,R,PV,F,108.3,Control,Leachate
1,1,2,S,Z,A,R,PV,F,128.9,Parkinsonia,Leachate
1,1,3,S,Y,A,D,PV,NF,237.1,Parkinsonia,Leachate Donor
1,1,3,S,Z,B,D,BG,NF,1031.1,Pennisetum,Leachate Donor
1,1,3,S,X,C,P,PV,F,64.6,Control,Competition
1,0,3,S,Y,A,P,PV,F,70.4,Parkinsonia,Competition
1,1,3,S,Y,A,P,PV,NF,177,Parkinsonia,Competition
1,1,3,S,Z,B,P,PV,F,76.8,Pennisetum,Competition
1,1,3,S,Z,B,P,BG,NF,177.4,Pennisetum,Competition
1,1,3,S,X,C,R,PV,F,55.1,Control,Leachate
1,1,3,S,Y,A,R,PV,F,86.3,Parkinsonia,Leachate
1,1,3,S,Z,B,R,PV,F,98.9,Pennisetum,Leachate
1,1,4,S,X,A,D,PV,NF,490.3,Parkinsonia,Leachate Donor
1,1,4,S,Y,B,D,BG,NF,1071.9,Pennisetum,Leachate Donor
1,1,4,S,X,A,P,PV,F,35.8,Parkinsonia,Competition
1,1,4,S,X,A,P,PV,NF,108.2,Parkinsonia,Competition
1,1,4,S,Y,B,P,PV,F,89.3,Pennisetum,Competition
1,1,4,S,Y,B,P,BG,NF,235.9,Pennisetum,Competition
1,1,4,S,Z,C,P,PV,F,170.1,Control,Competition
1,1,4,S,X,A,R,PV,F,91.7,Parkinsonia,Leachate
0,1,4,S,Y,B,R,PV,F,49.6,Pennisetum,Leachate
1,1,4,S,Z,C,R,PV,F,185.2,Control,Leachate
1,1,5,S,X,B,D,BG,NF,1259.6,Pennisetum,Leachate Donor
1,1,5,S,Z,A,D,PV,NF,446.7,Parkinsonia,Leachate Donor
1,1,5,S,X,B,P,PV,F,113.8,Pennisetum,Competition
1,0,5,S,X,B,P,BG,NF,0,Pennisetum,Competition
1,1,5,S,Y,C,P,PV,F,92.8,Control,Competition
1,1,5,S,Z,A,P,PV,F,66.4,Parkinsonia,Competition
1,1,5,S,Z,A,P,PV,NF,167.4,Parkinsonia,Competition
1,1,5,S,X,B,R,PV,F,118.6,Pennisetum,Leachate
1,1,5,S,Y,C,R,PV,F,95.8,Control,Leachate
1,1,5,S,Z,A,R,PV,F,136.6,Parkinsonia,Leachate
1,1,6,S,Y,A,D,PV,NF,512.6,Parkinsonia,Leachate Donor
1,1,6,S,Z,B,D,BG,NF,3185,Pennisetum,Leachate Donor
1,1,6,S,X,C,P,PV,F,92.8,Control,Competition
0,1,6,S,Y,A,P,PV,F,53.3,Parkinsonia,Competition
1,1,6,S,Y,A,P,PV,NF,80,Parkinsonia,Competition
1,0,6,S,Z,B,P,PV,F,79.3,Pennisetum,Competition
1,1,6,S,Z,B,P,BG,NF,269.5,Pennisetum,Competition
1,1,6,S,X,C,R,PV,F,125.2,Control,Leachate
0,1,6,S,Y,A,R,PV,F,193.2,Parkinsonia,Leachate
1,1,6,S,Z,B,R,PV,F,164.3,Pennisetum,Leachate
1,1,7,S,X,A,D,PV,NF,277.4,Parkinsonia,Leachate Donor
1,1,7,S,Y,B,D,BG,NF,960.4,Pennisetum,Leachate Donor
1,1,7,S,X,A,P,PV,F,61.2,Parkinsonia,Competition
1,1,7,S,X,A,P,PV,NF,93.7,Parkinsonia,Competition
1,0,7,S,Y,B,P,PV,F,51.5,Pennisetum,Competition
1,1,7,S,Y,B,P,BG,NF,467.6,Pennisetum,Competition
1,1,7,S,Z,C,P,PV,F,124.1,Control,Competition
1,1,7,S,X,A,R,PV,F,175.9,Parkinsonia,Leachate
1,1,7,S,Y,B,R,PV,F,89.2,Pennisetum,Leachate
1,1,7,S,Z,C,R,PV,F,72.3,Control,Leachate
1,1,8,S,X,B,D,BG,NF,1523.8,Pennisetum,Leachate Donor
1,1,8,S,Z,A,D,PV,NF,558.1,Parkinsonia,Leachate Donor
1,1,8,S,X,B,P,PV,F,74.4,Pennisetum,Competition
1,1,8,S,X,B,P,BG,NF,35.6,Pennisetum,Competition
1,1,8,S,Y,C,P,PV,F,88.2,Control,Competition
0,1,8,S,Z,A,P,PV,F,69.1,Parkinsonia,Competition
1,1,8,S,Z,A,P,PV,NF,87.3,Parkinsonia,Competition
1,1,8,S,X,B,R,PV,F,82.8,Pennisetum,Leachate
1,1,8,S,Y,C,R,PV,F,138.1,Control,Leachate
0,1,8,S,Z,A,R,PV,F,97.2,Parkinsonia,Leachate
1,1,8,S,Z,A,R,CACTUS,NF,7.8,Parkinsonia,Leachate
1,1,9,S,Y,A,D,PV,NF,214.8,Parkinsonia,Leachate Donor
1,1,9,S,Z,B,D,BG,NF,66,Pennisetum,Leachate Donor
1,1,9,S,X,C,P,PV,F,81,Control,Competition
0,1,9,S,Y,A,P,PV,F,82.7,Parkinsonia,Competition
1,1,9,S,Y,A,P,PV,NF,131.8,Parkinsonia,Competition
1,1,9,S,Z,B,P,PV,F,78.1,Pennisetum,Competition
1,1,9,S,Z,B,P,BG,NF,550.5,Pennisetum,Competition
1,1,9,S,X,C,R,PV,F,103.5,Control,Leachate
1,1,9,S,Y,A,R,PV,F,121.4,Parkinsonia,Leachate
1,1,9,S,Z,B,R,PV,F,95.9,Pennisetum,Leachate
1,1,10,S,X,A,D,VOLUNTEER,NF,107.3,Parkinsonia,Leachate Donor
1,1,10,S,X,A,D,PV,NF,347,Parkinsonia,Leachate Donor
1,1,10,S,Y,B,D,BG,NF,738.9,Pennisetum,Leachate Donor
0,0,10,S,X,A,P,PV,F,81.8,Parkinsonia,Competition
1,1,10,S,X,A,P,PV,NF,143.9,Parkinsonia,Competition
1,1,10,S,Y,B,P,PV,F,109.9,Pennisetum,Competition
1,1,10,S,Y,B,P,BG,NF,45.1,Pennisetum,Competition
1,1,10,S,Z,C,P,PV,F,159.6,Control,Competition
1,1,10,S,X,A,R,PV,F,84.3,Parkinsonia,Leachate
1,1,10,S,Y,B,R,PV,F,138,Pennisetum,Leachate
1,1,10,S,Z,C,R,PV,F,141.9,Control,Leachate
1,1,11,S,X,B,D,BG,NF,907.8,Pennisetum,Leachate Donor
1,1,11,S,Z,A,D,PV,NF,377.9,Parkinsonia,Leachate Donor
